,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
2611,1391,2090272636.0,"$3,599,bds2",DC,Washington,20003,,2,,"$3,599",38.886745_rrc2*-rrc_77.003136
2612,1392,2183158105.0,"$1,980,bds1",DC,Washington,20003,,1,,"$1,980",38.8894_rrc2*-rrc_76.97986
2613,1392,2183158105.0,"$2,910,bds2",DC,Washington,20003,,2,,"$2,910",38.8894_rrc2*-rrc_76.97986
2614,1393,1050555907.0,"$1,900,bds1",DC,Washington,20009,,1,,"$1,900",38.92403_rrc2*-rrc_77.03584
2615,1393,1050555907.0,"$2,550,bds2",DC,Washington,20009,,2,,"$2,550",38.92403_rrc2*-rrc_77.03584
2616,1394,1001417482.0,"$1,625,bds0",DC,Washington,20006,,0,,"$1,625",38.89709_rrc2*-rrc_77.04535
2617,1394,1001417482.0,"$2,190,bds1",DC,Washington,20006,,1,,"$2,190",38.89709_rrc2*-rrc_77.04535
2618,1395,2090266484.0,"$1,935,bds1",DC,Washington,20002,,1,,"$1,935",38.921913_rrc2*-rrc_76.99687
2619,1395,2090266484.0,"$3,156,bds2",DC,Washington,20002,,2,,"$3,156",38.921913_rrc2*-rrc_76.99687
2620,1396,1001712204.0,"$1,928,bds0",DC,Washington,20006,,0,,"$1,928",38.896454_rrc2*-rrc_77.047066
2621,1396,1001712204.0,"$2,259,bds1",DC,Washington,20006,,1,,"$2,259",38.896454_rrc2*-rrc_77.047066
2622,1397,1001416515.0,"$1,534,bds1",DC,Washington,20011,,1,,"$1,534",38.953453_rrc2*-rrc_77.00205
2623,1397,1001416515.0,"$2,104,bds2",DC,Washington,20011,,2,,"$2,104",38.953453_rrc2*-rrc_77.00205
2624,1398,2172428965.0,"$1,575,bds0",DC,Washington,20016,,0,,"$1,575",38.93344_rrc2*-rrc_77.07979
2625,1398,2172428965.0,"$1,691,bds1",DC,Washington,20016,,1,,"$1,691",38.93344_rrc2*-rrc_77.07979
2626,1398,2172428965.0,"$3,162,bds2",DC,Washington,20016,,2,,"$3,162",38.93344_rrc2*-rrc_77.07979
2627,1399,2456634460.0,"$2,143,bds0",DC,Washington,20003,,0,,"$2,143",38.88308_rrc2*-rrc_76.98641
